出来事,年号
奴国王が後漢に使いを送る,57
卑弥呼が魏に使いを送る,239
仏教伝来,538
聖徳太子が推古天皇の摂政となる,593
冠位十二階,603
十七条の憲法,604
遣隋使（小野妹子ら）,607
第一回遣唐使,630
大化の改新,645
白村江の戦い,663
壬申の乱,672
藤原京遷都,694
大宝律令,701
和同開珎,708
平城京遷都,710
古事記,712
日本書紀,720
三世一身の法,723
国分寺・国分尼寺建立の詔,741
墾田永年私財法／大仏建立の詔,743
東大寺大仏完成,752
平安京遷都,794
藤原良房が摂政となる,866
藤原基経が関白となる,887
遣唐使停止,894
平将門の乱／藤原純友の乱,939
尾張の国司が訴えられる,988
藤原道長が摂政となる,1016
前九年合戦,1051
後三年合戦,1083
白河上皇の院政,1086
保元の乱,1156
平治の乱,1159
平清盛が太政大臣となる,1167
壇ノ浦の戦い／守護・地頭の設置,1185
源頼朝が征夷大将軍となる,1192
承久の乱,1221
御成敗式目,1232
文永の役,1274
弘安の役,1281
永仁の徳政令,1297
鎌倉幕府滅亡,1333
建武の新政,1334
南北朝時代が始まる,1336
足利尊氏が室町幕府を開く,1338
南北朝合一,1392
勘合貿易,1404
正長の土一揆,1428
応仁の乱,1467
山城の国一揆,1485
